ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,clouds_all,clouds_all_lower,clouds_all_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,humidity,humidity_lower,humidity_upper,is_holiday,is_holiday_lower,is_holiday_upper,is_weekend,is_weekend_lower,is_weekend_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,rain_1h,rain_1h_lower,rain_1h_upper,rain_3h,rain_3h_lower,rain_3h_upper,snow_3h,snow_3h_lower,snow_3h_upper,temp,temp_lower,temp_upper,temp_max,temp_max_lower,temp_max_upper,temp_min,temp_min_lower,temp_min_upper,weekly,weekly_lower,weekly_upper,wind_speed,wind_speed_lower,wind_speed_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-23,25774.44062322886,24512.310446348158,32825.22057901471,25680.592101550377,25867.486876302715,2738.1033253037804,2738.1033253037804,2738.1033253037804,-34.88761578520367,-34.88761578520367,-34.88761578520367,3762.0786980000003,3762.0786980000003,3762.0786980000003,251.77615284840314,251.77615284840314,251.77615284840314,-211.86310381122365,-211.86310381122365,-211.86310381122365,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-154.78005753648284,-154.78005753648284,-154.78005753648284,-3772.4146203752625,-3772.4146203752625,-3772.4146203752625,-66.50501039721667,-66.50501039721667,-66.50501039721667,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,12.82141785909028,12.82141785909028,12.82141785909028,-112.6136413678628,-112.6136413678628,-112.6136413678628,14.303647747889652,14.303647747889652,14.303647747889652,379.47629272404083,379.47629272404083,379.47629272404083,123.8840105760755,123.8840105760755,123.8840105760755,2271.9668596430815,2271.9668596430815,2271.9668596430815,0.0,0.0,0.0,28512.543948532642
2018-10-24,25775.775003771327,24012.213100869976,32338.12939165967,25681.159622324125,25869.27355199747,2347.657571934501,2347.657571934501,2347.657571934501,-312.43330441548693,-312.43330441548693,-312.43330441548693,3762.0786980000003,3762.0786980000003,3762.0786980000003,0.9387111936808097,0.9387111936808097,0.9387111936808097,-183.60288261703647,-183.60288261703647,-183.60288261703647,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-742.9117259299039,-742.9117259299039,-742.9117259299039,-5385.405844723215,-5385.405844723215,-5385.405844723215,-68.56262190221648,-68.56262190221648,-68.56262190221648,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,18.876984401515493,18.876984401515493,18.876984401515493,-50.17494512527941,-50.17494512527941,-50.17494512527941,-29.94068638753172,-29.94068638753172,-29.94068638753172,635.856223255804,635.856223255804,635.856223255804,100.13971921286176,100.13971921286176,100.13971921286176,4077.101510138137,4077.101510138137,4077.101510138137,0.0,0.0,0.0,28123.43257570583
2018-10-25,25777.109384313797,23427.49219912058,31629.403535176793,25681.727143097873,25871.194429030395,1774.1411814921278,1774.1411814921278,1774.1411814921278,-421.57600152602964,-421.57600152602964,-421.57600152602964,3762.0786980000003,3762.0786980000003,3762.0786980000003,71.11517014407625,71.11517014407625,71.11517014407625,-166.08154547664063,-166.08154547664063,-166.08154547664063,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-1155.179499251225,-1155.179499251225,-1155.179499251225,-6907.580342921648,-6907.580342921648,-6907.580342921648,-68.56262190221648,-68.56262190221648,-68.56262190221648,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-2.795569539795645,-2.795569539795645,-2.795569539795645,-70.9878438728072,-70.9878438728072,-70.9878438728072,147.0366501541538,147.0366501541538,147.0366501541538,230.05073874965257,230.05073874965257,230.05073874965257,127.44565428055758,127.44565428055758,127.44565428055758,5773.656416771273,5773.656416771273,5773.656416771273,0.0,0.0,0.0,27551.250565805924
2018-10-26,25778.443764856263,23633.141269734373,31625.98103899866,25682.294663871617,25873.115306063326,1945.388078656076,1945.388078656076,1945.388078656076,112.16570737836123,112.16570737836123,112.16570737836123,3762.0786980000003,3762.0786980000003,3762.0786980000003,185.36885396451214,185.36885396451214,185.36885396451214,-354.5772208418696,-354.5772208418696,-354.5772208418696,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-1201.3333395739965,-1201.3333395739965,-1201.3333395739965,-8329.885978128546,-8329.885978128546,-8329.885978128546,11.684226792775013,11.684226792775013,11.684226792775013,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-32.435974194824176,-32.435974194824176,-32.435974194824176,-154.2394388629184,-154.2394388629184,-154.2394388629184,-29.94068638753172,-29.94068638753172,-29.94068638753172,181.27933787517864,181.27933787517864,181.27933787517864,106.07579205366521,106.07579205366521,106.07579205366521,7347.880506518928,7347.880506518928,7347.880506518928,0.0,0.0,0.0,27723.83184351234
2018-10-27,25779.778145398734,22752.661013742658,30857.80672284643,25682.865946445374,25875.036183096257,813.0130342695375,813.0130342695375,813.0130342695375,709.5573621296684,709.5573621296684,709.5573621296684,3762.0786980000003,3762.0786980000003,3762.0786980000003,-1027.4103974544637,-1027.4103974544637,-1027.4103974544637,-540.8120785115632,-540.8120785115632,-540.8120785115632,52.104298162572896,52.104298162572896,52.104298162572896,-1218.3426477229289,-1218.3426477229289,-1218.3426477229289,-1042.1014996331453,-1042.1014996331453,-1042.1014996331453,-9644.034861639819,-9644.034861639819,-9644.034861639819,116.62241354776388,116.62241354776388,116.62241354776388,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-89.16707127649158,-89.16707127649158,-89.16707127649158,-195.86523635797403,-195.86523635797403,-195.86523635797403,102.79231601873241,102.79231601873241,102.79231601873241,-23.743351055972347,-23.743351055972347,-23.743351055972347,49.0894927819523,49.0894927819523,49.0894927819523,8788.224446052935,8788.224446052935,8788.224446052935,0.0,0.0,0.0,26592.79117966827
2018-10-28,25781.1125259412,21138.989080056286,29393.841719116615,25683.444751620405,25876.957060129185,-574.618034378509,-574.618034378509,-574.618034378509,263.20962275803373,263.20962275803373,263.20962275803373,3762.0786980000003,3762.0786980000003,3762.0786980000003,-1398.9396756251037,-1398.9396756251037,-1398.9396756251037,-193.2113578230602,-193.2113578230602,-193.2113578230602,52.104298162572896,52.104298162572896,52.104298162572896,-1218.3426477229289,-1218.3426477229289,-1218.3426477229289,-984.8062781031246,-984.8062781031246,-984.8062781031246,-10842.567414659485,-10842.567414659485,-10842.567414659485,42.548399367771744,42.548399367771744,42.548399367771744,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-240.8749488656696,-240.8749488656696,-240.8749488656696,-279.11683134808516,-279.11683134808516,-279.11683134808516,191.28098428957512,191.28098428957512,191.28098428957512,-1195.8817770649164,-1195.8817770649164,-1195.8817770649164,-3.1479482171178432,-3.1479482171178432,-3.1479482171178432,10085.498413074123,10085.498413074123,10085.498413074123,0.0,0.0,0.0,25206.49449156269
2018-10-29,25782.44690648367,23462.105304314075,31895.747066165954,25684.023556795444,25878.874298752322,1815.7865160360002,1815.7865160360002,1815.7865160360002,9.607487424396018,9.607487424396018,9.607487424396018,3762.0786980000003,3762.0786980000003,3762.0786980000003,77.29643717719871,77.29643717719871,77.29643717719871,127.82475494290674,127.82475494290674,127.82475494290674,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-1130.5926886747982,-1130.5926886747982,-1130.5926886747982,-11918.948396277898,-11918.948396277898,-11918.948396277898,-6.834276752223017,-6.834276752223017,-6.834276752223017,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-245.01823123680262,-245.01823123680262,-245.01823123680262,-258.3039326005574,-258.3039326005574,-258.3039326005574,191.28098428957512,191.28098428957512,191.28098428957512,-207.03746448510972,-207.03746448510972,-207.03746448510972,-267.8967969169507,-267.8967969169507,-267.8967969169507,11232.98993029661,11232.98993029661,11232.98993029661,0.0,0.0,0.0,27598.233422519672
2018-10-30,25783.781287026137,24405.89704954842,32780.89821291659,25684.602361970472,25880.791227777685,2910.0747292986734,2910.0747292986734,2910.0747292986734,463.53735200663505,463.53735200663505,463.53735200663505,3762.0786980000003,3762.0786980000003,3762.0786980000003,658.637843020798,658.637843020798,658.637843020798,-299.46978951320443,-299.46978951320443,-299.46978951320443,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-1248.9653533327735,-1248.9653533327735,-1248.9653533327735,-12867.691705108316,-12867.691705108316,-12867.691705108316,289.46177996774554,289.46177996774554,289.46177996774554,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-211.55325823918983,-211.55325823918983,-211.55325823918983,-299.92973009561297,-299.92973009561297,-299.92973009561297,279.7696525604179,279.7696525604179,279.7696525604179,379.4762927247205,379.4762927247205,379.4762927247205,-89.81461169284788,-89.81461169284788,-89.81461169284788,12226.538953994244,12226.538953994244,12226.538953994244,0.0,0.0,0.0,28693.85601632481
2018-10-31,25785.115667568603,24947.095665887184,32963.207405753616,25685.181167145507,25882.70815680305,3223.4667053702615,3223.4667053702615,3223.4667053702615,569.4875753442917,569.4875753442917,569.4875753442917,3762.0786980000003,3762.0786980000003,3762.0786980000003,468.8442290999951,468.8442290999951,468.8442290999951,-470.1615255260951,-470.1615255260951,-470.1615255260951,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-1023.3722650631349,-1023.3722650631349,-1023.3722650631349,-13684.5082852673,-13684.5082852673,-13684.5082852673,277.1161109377469,277.1161109377469,277.1161109377469,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-174.90114495609015,-174.90114495609015,-174.90114495609015,-279.11683134808516,-279.11683134808516,-279.11683134808516,58.547981883311024,58.547981883311024,58.547981883311024,635.8562232543876,635.8562232543876,635.8562232543876,-38.764385261938386,-38.764385261938386,-38.764385261938386,13064.568105346314,13064.568105346314,13064.568105346314,0.0,0.0,0.0,29008.582372938865
2018-11-01,25786.450048111077,22706.3638249954,30582.00589361866,25685.759972320546,25884.62508582842,780.3338005101277,780.3338005101277,780.3338005101277,43.327991650505226,43.327991650505226,43.327991650505226,3762.0786980000003,3762.0786980000003,3762.0786980000003,-2169.168455816095,-2169.168455816095,-2169.168455816095,-311.90428683864667,-311.90428683864667,-311.90428683864667,-2201.8890445739135,-2201.8890445739135,-2201.8890445739135,487.92139609047746,487.92139609047746,487.92139609047746,-424.22462673189307,-424.22462673189307,-424.22462673189307,-14366.469253721632,-14366.469253721632,-14366.469253721632,19.91467281277415,19.91467281277415,19.91467281277415,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-162.15258381414242,-162.15258381414242,-162.15258381414242,-237.49103385302956,-237.49103385302956,-237.49103385302956,102.79231601873241,102.79231601873241,102.79231601873241,230.0507387518672,230.0507387518672,230.0507387518672,103.70136291734383,103.70136291734383,103.70136291734383,13748.066700027885,13748.066700027885,13748.066700027885,0.0,0.0,0.0,26566.783848621206
2018-11-02,25787.784428653544,25263.590783007247,33304.71192985761,25686.338777495577,25886.54201485379,3334.0775583869467,3334.0775583869467,3334.0775583869467,33.35151111023624,33.35151111023624,33.35151111023624,3762.0786980000003,3762.0786980000003,3762.0786980000003,-162.18658243879102,-162.18658243879102,-162.18658243879102,-347.51216554332274,-347.51216554332274,-347.51216554332274,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,184.5525801753754,184.5525801753754,184.5525801753754,-14912.174533132164,-14912.174533132164,-14912.174533132164,-45.92889534721886,-45.92889534721886,-45.92889534721886,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-126.13789858814005,-126.13789858814005,-126.13789858814005,-216.67813510550178,-216.67813510550178,-216.67813510550178,-74.18502052295308,-74.18502052295308,-74.18502052295308,181.2793378763403,181.2793378763403,181.2793378763403,88.26757353125494,88.26757353125494,88.26757353125494,14280.528057906184,14280.528057906184,14280.528057906184,0.0,0.0,0.0,29121.86198704049
2018-11-03,25789.11880919601,23463.09919459364,31296.60780968975,25686.91758267061,25888.45894387915,1670.9812064620792,1670.9812064620792,1670.9812064620792,-175.15693218138563,-175.15693218138563,-175.15693218138563,3762.0786980000003,3762.0786980000003,3762.0786980000003,-1762.9337623091762,-1762.9337623091762,-1762.9337623091762,-277.42681698173834,-277.42681698173834,-277.42681698173834,52.104298162572896,52.104298162572896,52.104298162572896,-1218.3426477229289,-1218.3426477229289,-1218.3426477229289,349.6550982892132,349.6550982892132,349.6550982892132,-15321.915922076254,-15321.915922076254,-15321.915922076254,-68.56262190221648,-68.56262190221648,-68.56262190221648,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-161.8338697855937,-161.8338697855937,-161.8338697855937,-216.67813510550178,-216.67813510550178,-216.67813510550178,191.28098428957512,191.28098428957512,191.28098428957512,-23.743351053516832,-23.743351053516832,-23.743351053516832,125.0712251442362,125.0712251442362,125.0712251442362,14667.840445611815,14667.840445611815,14667.840445611815,0.0,0.0,0.0,27460.10001565809
2018-11-04,25790.453189738477,21902.491615423594,30236.305634392207,25687.762149964885,25890.37587290452,449.70519572074755,449.70519572074755,449.70519572074755,4.619247154261527,4.619247154261527,4.619247154261527,3762.0786980000003,3762.0786980000003,3762.0786980000003,-1410.2747349815386,-1410.2747349815386,-1410.2747349815386,-231.64525864715483,-231.64525864715483,-231.64525864715483,52.104298162572896,52.104298162572896,52.104298162572896,-1218.3426477229289,-1218.3426477229289,-1218.3426477229289,-26.52715318884415,-26.52715318884415,-26.52715318884415,-15597.822741103508,-15597.822741103508,-15597.822741103508,-68.56262190221648,-68.56262190221648,-68.56262190221648,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-162.79001187123978,-162.79001187123978,-162.79001187123978,-175.0523376104462,-175.0523376104462,-175.0523376104462,324.01398669583926,324.01398669583926,324.01398669583926,-1195.8817770648348,-1195.8817770648348,-1195.8817770648348,78.76985698596944,78.76985698596944,78.76985698596944,14918.132904059476,14918.132904059476,14918.132904059476,0.0,0.0,0.0,26240.158385459225
2018-11-05,25791.78757028095,23780.56456481162,32622.465264442275,25688.694928608595,25892.29280192989,2652.4872910783965,2652.4872910783965,2652.4872910783965,467.9270034443534,467.9270034443534,467.9270034443534,3762.0786980000003,3762.0786980000003,3762.0786980000003,337.51784510113976,337.51784510113976,337.51784510113976,-318.9693421371935,-318.9693421371935,-318.9693421371935,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,-537.6718987344085,-537.6718987344085,-537.6718987344085,-15743.978011473171,-15743.978011473171,-15743.978011473171,77.52779495276803,77.52779495276803,77.52779495276803,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-133.78703527330865,-133.78703527330865,-133.78703527330865,-237.49103385302956,-237.49103385302956,-237.49103385302956,58.547981883311024,58.547981883311024,58.547981883311024,-207.03746448394875,-207.03746448394875,-207.03746448394875,-102.8739719426154,-102.8739719426154,-102.8739719426154,15041.578122668781,15041.578122668781,15041.578122668781,0.0,0.0,0.0,28444.274861359347
