ds,y_true,y_pred,error,month
2018-06-13,28898.0,30728.8123970543,1830.8123970542983,6
2018-06-14,28953.0,30932.909942448943,1979.9099424489432,6
2018-06-15,28894.0,32025.519380383663,3131.519380383663,6
2018-06-16,26296.0,30452.4543661525,4156.454366152499,6
2018-06-17,24326.0,29499.34961556989,5173.349615569889,6
2018-06-18,29201.0,32043.672509254095,2842.6725092540946,6
2018-06-19,30203.0,32195.204886322903,1992.204886322903,6
2018-06-20,30805.0,32262.216684650833,1457.2166846508335,6
2018-06-21,31192.0,32316.802025545257,1124.8020255452575,6
2018-06-22,31215.0,32329.459374112153,1114.4593741121535,6
2018-06-23,28064.0,30273.084571353582,2209.084571353582,6
2018-06-24,25916.0,28675.259924121645,2759.259924121645,6
2018-06-25,30948.0,30673.566175147047,274.43382485295297,6
2018-06-26,31728.0,30922.616043609683,805.3839563903166,6
