ds,yhat,yhat_lower,yhat_upper
2018-09-14,28634.215,26926.74306640625,29058.42578125
2018-09-15,28634.215,24604.20703125,28846.306640625
2018-09-16,28634.215,26884.3220703125,28856.91259765625
2018-09-17,28634.215,26088.927734375,28856.91259765625
2018-09-18,28634.215,27350.95400390625,29058.42578125
2018-09-19,28634.215,26682.83486328125,28846.306640625
2018-09-20,28634.215,26682.83486328125,29058.42578125
2018-09-21,28634.215,25823.808984375,29058.42578125
2018-09-22,28710.367,28710.3671875,28710.3671875
2018-09-23,28710.367,28710.3671875,28710.3671875
2018-09-24,28710.367,28710.3671875,28710.3671875
2018-09-25,28710.367,28710.3671875,28923.021484375
2018-09-26,28710.367,28710.3671875,28710.3671875
2018-09-27,28710.367,28710.3671875,28710.3671875
2018-09-28,28710.367,28710.3671875,28923.021484375
2018-09-29,28710.367,28710.3671875,28720.99990234375
2018-09-30,28710.367,28263.7349609375,28720.99990234375
2018-10-01,28710.367,28497.68359375,28923.021484375
2018-10-02,28710.367,28497.68359375,28923.021484375
2018-10-03,28710.367,28497.68359375,28923.021484375
2018-10-04,28710.367,28497.68359375,28923.021484375
2018-10-05,28710.367,28497.68359375,28923.021484375
2018-10-06,28710.367,28487.04951171875,28923.021484375
2018-10-07,28710.367,28497.68359375,28923.021484375
2018-10-08,28710.367,28497.68359375,28923.021484375
2018-10-09,28710.367,28401.9818359375,28923.021484375
2018-10-10,28710.367,28285.001953125,28923.021484375
2018-10-11,28710.367,28497.68359375,29135.705078125
2018-10-12,28710.367,28285.001953125,29561.04296875
2018-10-13,28710.367,28285.001953125,29178.238867187498
2018-10-14,28710.367,27806.49560546875,29178.238867187498
2018-10-15,28710.367,28019.177734375,28944.2884765625
2018-10-16,28710.367,26360.3599609375,29135.705078125
2018-10-17,28710.367,28072.345703125,28986.822265624996
2018-10-18,28710.367,28487.04951171875,28986.822265624996
2018-10-19,28710.367,28221.201171875,29997.013671875
2018-10-20,28710.367,25945.654296875,29592.942675781247
2018-10-21,28710.367,28168.034570312502,29146.337890625
2018-10-22,28710.367,28487.04951171875,29390.895117187498
2018-10-23,28710.367,28465.78251953125,29135.705078125
2018-10-24,28710.367,28263.7349609375,29135.705078125
2018-10-25,28710.367,28072.345703125,29135.705078125
2018-10-26,28710.367,28072.345703125,29156.971972656247
2018-10-27,28710.367,28253.10224609375,29358.99541015625
2018-10-28,28710.367,28497.68359375,29997.013671875
2018-10-29,28710.367,28476.41669921875,30262.837792968745
2018-10-30,28710.367,26775.06513671875,29135.705078125
2018-10-31,28710.367,27604.4740234375,29135.705078125
2018-11-01,28710.367,28285.001953125,29188.871679687498
2018-11-02,28710.367,28285.001953125,31049.712890625
